gene,beta,HR (95% CI for HR),wald.test,p.value,Gene Symbol,HR,CI Lower,CI Upper
205453_at,-0.21858642996564362,0.8036540166538172 (0.6648702301032279 - 0.9714072750460456),-2.259881725104754,0.023828592415303895,HOXB2,0.8036540166538172,0.6648702301032279,0.9714072750460456
216944_s_at,-0.27550977918432384,0.7591850078476199 (0.5977549224413958 - 0.9642110077263271),-2.2587581446808067,0.023898433416822733,ITPR1,0.7591850078476199,0.5977549224413958,0.9642110077263271
200775_s_at,-1.1127919136629292,0.32864014413463893 (0.12500158932712513 - 0.864023768963388),-2.2563095228932744,0.024051253419379935,HNRNPK,0.32864014413463893,0.12500158932712513,0.864023768963388
201055_s_at,-0.6177458685308518,0.5391584027846544 (0.3148413800966452 - 0.92329598861518),-2.2507317410116805,0.02440253312174226,HNRNPA0,0.5391584027846544,0.3148413800966452,0.92329598861518
214106_s_at,-0.37340844427364284,0.6883840089092063 (0.4971559448811228 - 0.953166805307377),-2.248832852998219,0.02452313234014358,GMDS,0.6883840089092063,0.4971559448811228,0.953166805307377
217846_at,-0.5888713336034906,0.5549532885217197 (0.33214901023246135 - 0.9272138195610748),-2.2485214117824794,0.024542961326960596,MIR6890 /// QARS,0.5549532885217197,0.33214901023246135,0.9272138195610748
203994_s_at,-0.22751336689768623,0.7965117745349376 (0.6531965722613361 - 0.9712711822360376),-2.2479807719047544,0.024577416033499545,C21orf2,0.7965117745349376,0.6531965722613361,0.9712711822360376
213883_s_at,-0.559732144025555,0.5713620861022713 (0.3504984741373859 - 0.9314010117692496),-2.244995739344979,0.024768406085323786,TM2D1,0.5713620861022713,0.3504984741373859,0.9314010117692496
220908_at,-0.27802300177302147,0.7572794025450715 (0.5940451512201371 - 0.9653678551893561),-2.244509099960838,0.024799664085183006,CCDC33,0.7572794025450715,0.5940451512201371,0.9653678551893561
211151_x_at,-0.3301854981742287,0.7187903867601293 (0.5386553451740955 - 0.9591654937199031),-2.243207917919194,0.024883409952251235,GH1,0.7187903867601293,0.5386553451740955,0.9591654937199031
205629_s_at,-0.3021793460551199,0.7392054794138903 (0.5676070265729066 - 0.9626814243204819),-2.2421663447143065,0.024950623416694094,CRH,0.7392054794138903,0.5676070265729066,0.9626814243204819
206385_s_at,-0.29041698087537354,0.7479516210235398 (0.5800378777967301 - 0.9644743021209895),-2.238813227172296,0.025168071275398406,ANK3,0.7479516210235398,0.5800378777967301,0.9644743021209895
203684_s_at,-0.18428957928201217,0.8316949273320238 (0.7077007082689656 - 0.9774138192425401),-2.2373082301861262,0.025266201683373624,BCL2,0.8316949273320238,0.7077007082689656,0.9774138192425401
203959_s_at,-0.4556492456793241,0.6340361890335868 (0.42533859700891025 - 0.9451338106421903),-2.236999727587597,0.025286357843739646,ZBTB40,0.6340361890335868,0.42533859700891025,0.9451338106421903
200759_x_at,-0.5242577044536834,0.5919946362938118 (0.37383461671023865 - 0.937467087678197),-2.235287825910633,0.02539845878919266,NFE2L1,0.5919946362938118,0.37383461671023865,0.937467087678197
217235_x_at,-0.19613332009536402,0.8219026512336688 (0.6920188681401298 - 0.9761640891677886),-2.2348530025139204,0.025427000848502836,IGLL5,0.8219026512336688,0.6920188681401298,0.9761640891677886
209697_at,-0.25388939621358486,0.775777601241644 (0.6206924396758783 - 0.9696120785722981),-2.2311511872458936,0.025671116070923834,AK125860 /// RP11-582J16.4,0.775777601241644,0.6206924396758783,0.9696120785722981
213410_at,-0.5659546808789695,0.5678178031168063 (0.3453671069546187 - 0.9335488268683383),-2.231028052699807,0.025679270863755006,EDRF1,0.5678178031168063,0.3453671069546187,0.9335488268683383
209620_s_at,-0.6297066053882194,0.5327480834966902 (0.3062219778664561 - 0.9268456903285074),-2.2288543290833087,0.0258235987213301,ABCB7,0.5327480834966902,0.3062219778664561,0.9268456903285074
217974_at,-0.44411565713664247,0.641391235063631 (0.43398981314137614 - 0.9479086926919142),-2.2283905118532754,0.025854485255768802,TM7SF3,0.641391235063631,0.43398981314137614,0.9479086926919142
204638_at,-0.3194292440999706,0.7265636092193961 (0.5485789029405872 - 0.9622948957974928),-2.2280467881081027,0.02587739512432841,ACP5,0.7265636092193961,0.5485789029405872,0.9622948957974928
202709_at,-0.309959211765843,0.7334768728406003 (0.558419105029106 - 0.9634131750631723),-2.227867282738855,0.025889366488710694,FMOD,0.7334768728406003,0.558419105029106,0.9634131750631723
207494_s_at,-0.27076094876162465,0.7627988226147213 (0.6008756519507134 - 0.9683568337199526),-2.2240890778006484,0.02614245160544878,ZNF76,0.7627988226147213,0.6008756519507134,0.9683568337199526
208069_x_at,-0.400056521257332,0.6702821597745222 (0.4708790268095197 - 0.9541265338490864),-2.220622589063049,0.026376534514258903,CSH1 /// CSHL1 /// GH1 /// GH2,0.6702821597745222,0.4708790268095197,0.9541265338490864
201366_at,-0.849772956127281,0.42751198490735715 (0.201854657094779 - 0.9054361185910714),-2.2194136898444214,0.0264585931535238,ANXA7,0.42751198490735715,0.201854657094779,0.9054361185910714
206460_at,-0.24743592078959145,0.7808002522715727 (0.6275101184352923 - 0.9715365793105017),-2.2189168393316967,0.02649238267211596,AJAP1,0.7808002522715727,0.6275101184352923,0.9715365793105017
212837_at,-0.803642932512012,0.44769506692080724 (0.21991249051993952 - 0.9114119551433707),-2.215711981450853,0.026711233807509213,FAM175B,0.44769506692080724,0.21991249051993952,0.9114119551433707
200763_s_at,-0.9729657771306689,0.3779604278271669 (0.1596985300684465 - 0.8945234808489972),-2.2135510467629675,0.026859678013198683,RPLP1,0.3779604278271669,0.1596985300684465,0.8945234808489972
219446_at,-0.657317481831881,0.5182396588568355 (0.2894847753057937 - 0.9277598233908715),-2.2123320583047508,0.026943729570871194,RIC8B,0.5182396588568355,0.2894847753057937,0.9277598233908715
207040_s_at,-0.7220677956200479,0.48574679168262547 (0.25614647233945864 - 0.9211524307751183),-2.2115060747397997,0.027000811675058384,ST13,0.48574679168262547,0.25614647233945864,0.9211524307751183
215002_at,-0.1799258205810838,0.8353321735683225 (0.7115382795665461 - 0.9806638099969133),-2.1985511106985287,0.027909856517703825,LOC101929910 /// LOC613037 /// NPIPA5 /// NPIPB11 /// NPIPB3 /// NPIPB4 /// NPIPB5 /// NPIPB8,0.8353321735683225,0.7115382795665461,0.9806638099969133
203926_x_at,-0.505254768453319,0.603351840829214 (0.38449158272330447 - 0.9467917119370964),-2.197798830068306,0.02796344486109203,ATP5D,0.603351840829214,0.38449158272330447,0.9467917119370964
208771_s_at,-0.5728544920728031,0.5639134526131085 (0.3382551509382889 - 0.9401139381201976),-2.196778579296845,0.028036263628639257,LOC101928830 /// LTA4H,0.5639134526131085,0.3382551509382889,0.9401139381201976
213836_s_at,-0.43061418211302865,0.6501096863402728 (0.44252842421953686 - 0.9550631804473113),-2.1942496613847626,0.028217466153307037,WIPI1,0.6501096863402728,0.44252842421953686,0.9550631804473113
211986_at,-0.3208715759609451,0.72551641875642 (0.5446632415941666 - 0.9664211455586846),-2.1934482983106167,0.028275095745933607,AHNAK,0.72551641875642,0.5446632415941666,0.9664211455586846
201312_s_at,-0.3138826201020522,0.7306047814411565 (0.5517448574658247 - 0.967445984211539),-2.1909802624586865,0.028453220790165094,SH3BGRL,0.7306047814411565,0.5517448574658247,0.967445984211539
202049_s_at,-0.6116709121517225,0.5424437355859546 (0.3136795018930735 - 0.9380441007482435),-2.188835833293315,0.028608774242603673,ZMYM4,0.5424437355859546,0.3136795018930735,0.9380441007482435
206495_s_at,-0.29624193464442367,0.7436075018393207 (0.5702508034396969 - 0.9696647746155942),-2.1874243613356037,0.028711559371384143,HINFP,0.7436075018393207,0.5702508034396969,0.9696647746155942
219940_s_at,-0.5843988853741653,0.5574408469659983 (0.3301102056855874 - 0.9413229052425397),-2.1861720487396736,0.02880302039384368,PCID2,0.5574408469659983,0.3301102056855874,0.9413229052425397
218228_s_at,-0.36654635809417285,0.6931240038299133 (0.4987627550150882 - 0.9632252606164956),-2.183120211701577,0.029026958510808568,TNKS2,0.6931240038299133,0.4987627550150882,0.9632252606164956
204241_at,-0.3736962739870921,0.6881859000493548 (0.4920363105747637 - 0.9625302500002756),-2.1830613166984856,0.02903129481430142,ACOX3,0.6881859000493548,0.4920363105747637,0.9625302500002756
218023_s_at,-0.8346105566237976,0.43404348388219444 (0.2051673709998108 - 0.9182441875748679),-2.18305879676357,0.029031480363746153,FAM53C,0.43404348388219444,0.2051673709998108,0.9182441875748679
219524_s_at,-0.2568753902349809,0.7734645890013627 (0.6141023885886903 - 0.9741819630663211),-2.1821706065590294,0.029096943764377037,NDUFAF5,0.7734645890013627,0.6141023885886903,0.9741819630663211
200594_x_at,-0.9974765725169681,0.36880893051999575 (0.15055333032605903 - 0.9034674087694996),-2.1820340795143247,0.02910701764560437,HNRNPU,0.36880893051999575,0.15055333032605903,0.9034674087694996
207132_x_at,-0.5312258031807293,0.5878838978706779 (0.364744218456702 - 0.9475338055746261),-2.1812511144357534,0.029164848047883826,PFDN5,0.5878838978706779,0.364744218456702,0.9475338055746261
206621_s_at,-0.878932532242007,0.41522591547043214 (0.18849078912849443 - 0.9147001913219461),-2.1812277555766677,0.029166574869024443,EIF4H,0.41522591547043214,0.18849078912849443,0.9147001913219461
208869_s_at,-0.47503404071721295,0.621863887411981 (0.40577626330499145 - 0.9530244359721866),-2.1808561894299516,0.029194055008075977,GABARAPL1,0.621863887411981,0.40577626330499145,0.9530244359721866
221349_at,-0.2421503681128892,0.7849381390107377 (0.6313833525365855 - 0.9758380223335691),-2.1801749816904072,0.029244493364251764,VPREB1,0.7849381390107377,0.6313833525365855,0.9758380223335691
212829_at,-0.5582479452046633,0.5722107306596063 (0.34632277402976663 - 0.9454334073157374),-2.1789825946265857,0.029332961243123967,PIP4K2A,0.5722107306596063,0.34632277402976663,0.9454334073157374
213590_at,-0.24432931931087876,0.7832296591354921 (0.6286611815820669 - 0.9758017783215366),-2.1783606417726906,0.029379197671946706,SLC16A5,0.7832296591354921,0.6286611815820669,0.9758017783215366
221818_at,-0.5403124663613015,0.5825661915934317 (0.35820061611403586 - 0.9474672915683364),-2.1774315595288396,0.02944838310487909,INTS5,0.5825661915934317,0.35820061611403586,0.9474672915683364
206012_at,-0.3151365755263705,0.7296892097754344 (0.5493422426077622 - 0.9692433997704992),-2.1756348260331593,0.029582577082995755,LEFTY1 /// LEFTY2,0.7296892097754344,0.5493422426077622,0.9692433997704992
221861_at,-0.32592786531417106,0.7218572565001112 (0.5381771095529309 - 0.9682275398051248),-2.1754785224018462,0.029594275876297912,ARRB1,0.7218572565001112,0.5381771095529309,0.9682275398051248
214919_s_at,-0.4645515162988619,0.628416876726679 (0.41347732919331465 - 0.9550892952834213),-2.175112039529802,0.029621721471117857,ANKHD1 /// ANKHD1-EIF4EBP3 /// EIF4EBP3,0.628416876726679,0.41347732919331465,0.9550892952834213
203241_at,-0.6303247677437146,0.53241886045364 (0.3016490107892386 - 0.939734037996936),-2.1743874232213507,0.029676051811027466,UVRAG,0.53241886045364,0.3016490107892386,0.939734037996936
207979_s_at,-0.2378865008976351,0.788292156468715 (0.635988154923765 - 0.9770693355516721),-2.1717429550279905,0.0298750565894918,CD8B /// LOC100996919,0.788292156468715,0.635988154923765,0.9770693355516721
200983_x_at,-0.4644737786163315,0.6284657302971959 (0.4132450179224849 - 0.9557747995211758),-2.1714294871391955,0.029898721946082216,CD59,0.6284657302971959,0.4132450179224849,0.9557747995211758
208871_at,-0.23174409172492075,0.7931490707481872 (0.6434083523870586 - 0.977739014569507),-2.170848443412005,0.029942630647582655,ATN1,0.7931490707481872,0.6434083523870586,0.977739014569507
201429_s_at,-1.3170043198576697,0.2679367537324771 (0.08158429529877131 - 0.87995004109301),-2.170759619327409,0.029949347847665883,RPL37A,0.2679367537324771,0.08158429529877131,0.87995004109301
204977_at,-0.6793958347108467,0.5069231652474728 (0.27402944844751914 - 0.9377499276824277),-2.164753210657672,0.03040658974211962,DDX10,0.5069231652474728,0.27402944844751914,0.9377499276824277
210229_s_at,-0.37809717548371047,0.6851639162957515 (0.4863163434798414 - 0.9653173258266016),-2.1617837995597573,0.03063484478553941,CSF2,0.6851639162957515,0.4863163434798414,0.9653173258266016
221272_s_at,-0.1776411219910121,0.837242837622136 (0.712585631731746 - 0.9837071334795728),-2.159676307154,0.030797736594382785,C1orf21,0.837242837622136,0.712585631731746,0.9837071334795728
207769_s_at,-0.7243346837267651,0.48464690518849657 (0.25112419928252105 - 0.9353245261900813),-2.1592825527924,0.03082825287200984,PQBP1,0.48464690518849657,0.25112419928252105,0.9353245261900813
209598_at,-0.1993232157150361,0.8192850447320649 (0.6836517754536928 - 0.9818273112450756),-2.158575742207927,0.03088309638475829,PNMA2,0.8192850447320649,0.6836517754536928,0.9818273112450756
208458_at,-0.22638901240468084,0.7974078397804616 (0.6491544101930613 - 0.9795192837929501),-2.157139898469726,0.030994765670950802,SCNN1D,0.7974078397804616,0.6491544101930613,0.9795192837929501
212597_s_at,-0.6761206393727313,0.5085861594639619 (0.27510903247659063 - 0.9402086120902343),-2.1566199699284265,0.031035287245806866,HMGXB4,0.5085861594639619,0.27510903247659063,0.9402086120902343
205953_at,-0.8466347383927885,0.42885571796074806 (0.19852677997414134 - 0.9264101641682014),-2.1544807250565863,0.031202491956539038,LRIG2,0.42885571796074806,0.19852677997414134,0.9264101641682014
207511_s_at,-0.27771000168319226,0.7575164681649387 (0.5883463103168154 - 0.9753289677844384),-2.153692054381342,0.03126432967399328,CNPPD1,0.7575164681649387,0.5883463103168154,0.9753289677844384
222082_at,-0.3086665971313905,0.7344255888104427 (0.5545070232377863 - 0.9727215759145861),-2.1528668588067656,0.03132914376021988,ZBTB7A,0.7344255888104427,0.5545070232377863,0.9727215759145861
217696_at,-0.27007536211324823,0.7633219666126823 (0.596889651916325 - 0.9761610422342067),-2.152238352990736,0.03137858637147454,FUT7,0.7633219666126823,0.596889651916325,0.9761610422342067
209075_s_at,-0.647942365167963,0.5231210622282291 (0.28991542758586886 - 0.9439154308741909),-2.1516312895118763,0.031426405719560055,ISCU,0.5231210622282291,0.28991542758586886,0.9439154308741909
210807_s_at,-0.3461251336674789,0.707423959013241 (0.51611190516643 - 0.9696514511219976),-2.151534222778864,0.031434057613428275,SLC16A7,0.707423959013241,0.51611190516643,0.9696514511219976
220536_at,-0.3458409755990708,0.7076250078024447 (0.5163616413056652 - 0.9697334418592032),-2.1511296516027323,0.031465967688787275,VRTN,0.7076250078024447,0.5163616413056652,0.9697334418592032
203223_at,-0.2842482692104311,0.7525797791231214 (0.5807498231721372 - 0.9752501014143732),-2.1494769941915925,0.03159660785135772,RABEP1,0.7525797791231214,0.5807498231721372,0.9752501014143732
221331_x_at,-0.20721868698854815,0.8128418726081931 (0.6728914360514715 - 0.9818997158624175),-2.149434236317846,0.03159999396310631,CTLA4,0.8128418726081931,0.6728914360514715,0.9818997158624175
216095_x_at,-0.6209620242923469,0.5374271708292663 (0.30505570640237667 - 0.9468040029534066),-2.1491535814050824,0.03162222751183339,MTMR1,0.5374271708292663,0.30505570640237667,0.9468040029534066
208788_at,-0.2979309395125075,0.7423526052103523 (0.5655232594937011 - 0.9744734300689453),-2.1462405166574534,0.03185379459353854,ELOVL5,0.7423526052103523,0.5655232594937011,0.9744734300689453
201135_at,-0.6333154988644304,0.530828917529417 (0.2975437651354172 - 0.9470181287690906),-2.1442766702021077,0.03201072498117311,ECHS1,0.530828917529417,0.2975437651354172,0.9470181287690906
201788_at,-0.6921674120058411,0.5004901243420533 (0.2655723894830318 - 0.9432093639385224),-2.1407958355647274,0.03229050595055664,DDX42,0.5004901243420533,0.2655723894830318,0.9432093639385224
218671_s_at,-0.5886643091249594,0.5550681893301146 (0.3237326074301865 - 0.9517135059453484),-2.139871010952532,0.03236519244695666,ATPIF1,0.5550681893301146,0.3237326074301865,0.9517135059453484
211997_x_at,-0.6723538267210131,0.5105055209119475 (0.2756042521840269 - 0.9456163495894104),-2.137757021708398,0.03253646885849702,H3F3A /// H3F3B /// MIR4738,0.5105055209119475,0.2756042521840269,0.9456163495894104
205962_at,-0.23009959495069024,0.7944544749087908 (0.6431990213152168 - 0.9812793424529901),-2.135339687966629,0.03273327329571598,PAK2,0.7944544749087908,0.6431990213152168,0.9812793424529901
201871_s_at,-0.647869524630373,0.5231591680354334 (0.2885999340414428 - 0.9483561249193643),-2.1346776911465475,0.0327873464810256,UBXN1,0.5231591680354334,0.2885999340414428,0.9483561249193643
208302_at,-0.24933815769177387,0.7793163969880521 (0.6197346331825994 - 0.9799904896318639),-2.1328629272633752,0.03293597230738221,HMHB1,0.7793163969880521,0.6197346331825994,0.9799904896318639
220391_at,-0.3870819358893656,0.6790354552732871 (0.47576203373637743 - 0.969159194770242),-2.132550478417903,0.032961619406820825,ZBTB3,0.6790354552732871,0.47576203373637743,0.969159194770242
218501_at,-0.4795226980397775,0.6190788088279564 (0.39837626975558427 - 0.9620517099951309),-2.131967503142033,0.033009518150337626,ARHGEF3,0.6190788088279564,0.39837626975558427,0.9620517099951309
202876_s_at,-0.48311739240427864,0.6168574047490918 (0.39546917313179314 - 0.962181337120241),-2.1299305849185384,0.03317734463482522,PBX2,0.6168574047490918,0.39546917313179314,0.962181337120241
200012_x_at,-0.7037160555472256,0.4947433896657795 (0.25879108637663023 - 0.945824777217246),-2.1284252966051214,0.03330183761851977,RPL21 /// RPL21P28 /// SNORA27 /// SNORD102,0.4947433896657795,0.25879108637663023,0.945824777217246
203057_s_at,-0.6811715794707606,0.5060237978529037 (0.27008739636569556 - 0.9480638024544236),-2.126458648221885,0.03346508889497011,PRDM2,0.5060237978529037,0.27008739636569556,0.9480638024544236
201007_at,-0.7596538459817115,0.46782833964457515 (0.23224797584559476 - 0.9423692696469688),-2.126093346577667,0.0334954878214058,HADHB,0.46782833964457515,0.23224797584559476,0.9423692696469688
209712_at,-0.41549144142997535,0.6600158418610373 (0.449883426035794 - 0.9682973105856864),-2.1247081998134485,0.033610968829590825,SLC35D1,0.6600158418610373,0.449883426035794,0.9682973105856864
218413_s_at,-0.21909790010978658,0.8032430767187907 (0.6561799579649306 - 0.9832659965685079),-2.1235244103505386,0.03370993220089033,ZNF639,0.8032430767187907,0.6561799579649306,0.9832659965685079
217940_s_at,-0.4728014321309538,0.6232538170736031 (0.40274483171283604 - 0.9644948610384265),-2.122231498276191,0.033818302695533965,CARKD,0.6232538170736031,0.40274483171283604,0.9644948610384265
200018_at,-0.8483599673871401,0.42811648150117176 (0.19546585284245663 - 0.9376764231073539),-2.1208349413379617,0.03393569513283888,LOC100508408 /// RPS13 /// SNORD14B,0.42811648150117176,0.19546585284245663,0.9376764231073539
218314_s_at,-0.8331600147324906,0.43467353898840366 (0.2010779581088089 - 0.9396409595250712),-2.118249003690335,0.034153985029668266,C11orf57,0.43467353898840366,0.2010779581088089,0.9396409595250712
201682_at,-0.5294297141908698,0.5889407384727355 (0.36010415641769816 - 0.9631968619392595),-2.1093619463919646,0.03491335152615628,PMPCB,0.5889407384727355,0.36010415641769816,0.9631968619392595
207336_at,-0.260405273451089,0.770739162379156 (0.604976254475605 - 0.9819209465334097),-2.1076283342367645,0.03506315071591078,SOX5,0.770739162379156,0.604976254475605,0.9819209465334097
213846_at,-0.5677626586118827,0.5667921286501102 (0.33410308087461277 - 0.9615395232475809),-2.1053996706861797,0.03525653244715992,COX7C,0.5667921286501102,0.33410308087461277,0.9615395232475809
201834_at,-0.46876838752885797,0.6257725030888441 (0.4043499931768955 - 0.9684462278468833),-2.103861664213168,0.03539051588859819,PRKAB1,0.6257725030888441,0.4043499931768955,0.9684462278468833
216412_x_at,-0.19359139828623523,0.8239945210662337 (0.6879688121662961 - 0.9869153350269194),-2.103045005178615,0.03546183557859102,CKAP2 /// IGLC1 /// IGLV1-40 /// IGLV1-40 /// IGLV1-50 /// IGLV1-50,0.8239945210662337,0.6879688121662961,0.9869153350269194
