gene,beta,HR (95% CI for HR),wald.test,p.value
212365_at,0.22557504836420217,1.253043069420386 (0.8293594441259866 - 1.893168209445202),1.0713446956344737,0.2840144699020166
212366_at,0.19977103782076674,1.2211231351357101 (0.8050677777921268 - 1.8521940044018097),0.9398564166158503,0.34729121568021437
212367_at,-0.2346083716863374,0.7908805201913286 (0.5031862346429519 - 1.2430626160946945),-1.0168899338586161,0.3092057924826044
212368_at,0.15546981920675945,1.1682066781309837 (0.8460232895996282 - 1.6130842491057913),0.9443316499051139,0.34500019724141007
212369_at,0.0012455661491368652,1.0012463421888222 (0.5522720395374281 - 1.8152181641970595),0.004103241231086843,0.9967260963593634
212370_x_at,-0.547044742976741,0.5786573672516478 (0.3216292652106724 - 1.0410879384849507),-1.8255881241290273,0.06791232600317165
212371_at,0.25049852756762214,1.2846656983412548 (0.8231760211366073 - 2.0048761311291203),1.1030914761147186,0.26998744210366
212372_at,0.07007062711862297,1.0725839320917583 (0.7276042559729311 - 1.5811291398276497),0.3538959398852609,0.7234168698986234
212373_at,-0.004903694067596824,0.9951083094116789 (0.6045083897687821 - 1.6380923147136568),-0.019282441612577788,0.9846157908889969
212374_at,0.2845306981102803,1.3291381147021233 (0.8436179562532847 - 2.09408549789511),1.2267637413884445,0.21991140241463283
212375_at,-0.05677829716974478,0.9448035117612722 (0.643919943146792 - 1.3862805234360283),-0.29025213892615354,0.771623351030166
212376_s_at,0.25261459498633243,1.287387015799608 (0.7770819991628124 - 2.1328062292460497),0.9807685687035517,0.326706881430507
212377_s_at,-0.46550833318887647,0.6278158844107067 (0.4231978261989033 - 0.9313676968963109),-2.3132933762089882,0.020706514628900986
212378_at,0.02896601556150923,1.0293896106527751 (0.5855717615392093 - 1.8095868689680985),0.10063653803682265,0.91983899077291
212379_at,0.022463273052908624,1.0227174721841914 (0.6026557494162369 - 1.7355696497112716),0.08324731055111834,0.9336548948825976
212380_at,-0.23068004527395222,0.7939934673609468 (0.4513628690079195 - 1.3967157457978618),-0.8004987159863868,0.42342190719525397
212381_at,0.04286322649842138,1.0437951215733263 (0.6182324444039777 - 1.7622955017681778),0.16040045705173053,0.8725656296057477
212382_at,-0.06328518076730444,0.9386757432464521 (0.7036042437096913 - 1.2522837359730707),-0.43030331529103283,0.6669750157891086
212383_at,0.23649089982708774,1.2667960275047854 (0.7142560575543874 - 2.2467743301983947),0.8089177651267185,0.41856244961138134
212384_at,-0.004733040272848645,0.995278142911819 (0.8137697938726696 - 1.2172712592880965),-0.04607316455176467,0.9632519348730005
212385_at,0.01927436051378876,1.0194613101804575 (0.7395215237867864 - 1.4053699987432668),0.11767589786814588,0.9063244647831136
212386_at,-0.06514786667259988,0.9369289125733679 (0.6992726393174317 - 1.2553555478343603),-0.4364388377879175,0.6625183657587839
212387_at,0.011136108499796708,1.0111983457684945 (0.7528332206148893 - 1.3582318984937694),0.0739757461218218,0.941029684161705
212388_at,-0.3702587513454931,0.6905556253210415 (0.43910022735993265 - 1.0860096213788666),-1.602791017965969,0.10898080053838952
212389_at,0.24163333204278004,1.2733272189190106 (0.9022397144961266 - 1.7970414961676824),1.374691221103064,0.16922719405858644
212390_at,-0.018699100260250633,0.9814746432803181 (0.8067003934308797 - 1.1941142997406573),-0.18688855468749085,0.851748013132416
212391_x_at,-0.9509748615258126,0.3863641882212112 (0.15435844500442455 - 0.9670820792186435),-2.031466459396369,0.04220769861566971
212392_s_at,0.0714848779900385,1.0741019079987506 (0.7939414544099416 - 1.4531234039466856),0.4635793447512883,0.642949155739551
212393_at,0.1636237584647509,1.1777711053121518 (0.8517981453185179 - 1.6284900174201533),0.9897145656170905,0.32231365355167274
212394_at,0.0919013503205931,1.0962566713772095 (0.8132840549047977 - 1.477686279832104),0.6032742828864314,0.54632623824761
