gene,beta,HR (95% CI for HR),wald.test,p.value,Gene Symbol,HR,CI Lower,CI Upper
214599_at,0.357206267447507,1.4293306638373038 (1.1004696949336217 - 1.8564674302174369),2.677605866144032,0.007415041534948865,IVL,1.4293306638373038,1.1004696949336217,1.8564674302174369
201291_s_at,0.2731082432387501,1.3140424733401324 (1.0759332377527266 - 1.6048464357773544),2.677484871317587,0.00741772023558139,TOP2A,1.3140424733401324,1.0759332377527266,1.6048464357773544
221356_x_at,0.31292355408177935,1.3674169935842606 (1.0870772299597744 - 1.7200518811457468),2.6732183703018317,0.007512732834797588,P2RX2,1.3674169935842606,1.0870772299597744,1.7200518811457468
220223_at,0.45495142029030133,1.5760968148484538 (1.1290091134669114 - 2.2002312825867585),2.672838216077551,0.007521251380039554,ATAD5,1.5760968148484538,1.1290091134669114,2.2002312825867585
200732_s_at,0.7111385044168587,2.0363082854008927 (1.2084324349025648 - 3.4313473500292613),2.671075401779266,0.007560866057476783,PTP4A1,2.0363082854008927,1.2084324349025648,3.4313473500292613
211137_s_at,0.6892670136770144,1.9922547024751827 (1.2010779687753106 - 3.304597122517853),2.669588095121302,0.00759443480631832,ATP2C1,1.9922547024751827,1.2010779687753106,3.304597122517853
51200_at,0.6982445751931375,2.010220816904019 (1.202432636698522 - 3.360677022048788),2.663047059159135,0.007743658378111257,C19orf60,2.010220816904019,1.202432636698522,3.360677022048788
215198_s_at,0.3863286456445446,1.4715682158376935 (1.1071659381835393 - 1.9559064627806018),2.6612422615362177,0.007785291919317393,CALD1,1.4715682158376935,1.1071659381835393,1.9559064627806018
213917_at,0.4000241026193255,1.491860654957389 (1.1111007303510096 - 2.003102106779087),2.6606883601716813,0.007798109621017362,PAX8,1.491860654957389,1.1111007303510096,2.003102106779087
218240_at,0.7921161089715967,2.2080639899965275 (1.2313667020307635 - 3.959459498034712),2.6584620956246643,0.007849818012221623,NKIRAS2,2.2080639899965275,1.2313667020307635,3.959459498034712
219105_x_at,0.41859788653228214,1.5198290881541832 (1.1161742705460391 - 2.069462196140365),2.657794055865415,0.007865394055057885,ORC6,1.5198290881541832,1.1161742705460391,2.069462196140365
212977_at,0.3235202942862233,1.3819842023664017 (1.0885302111153572 - 1.7545496818442454),2.65651253219735,0.00789535163151458,ACKR3,1.3819842023664017,1.0885302111153572,1.7545496818442454
202268_s_at,0.5621956002212989,1.7545205000138642 (1.1582776869549454 - 2.6576892740304),2.653468377267696,0.007966923524443812,NAE1,1.7545205000138642,1.1582776869549454,2.6576892740304
203432_at,0.45512638827464824,1.5763726054578433 (1.1262221322512007 - 2.206448017737666),2.652821297881381,0.0079822118419372,TMPO,1.5763726054578433,1.1262221322512007,2.206448017737666
